{20/10/23 14:40:25} Température trop haute (>18.5°C)
{20/10/23 15:00:21} Niveau trop faible (<2m)
{20/10/23 16:12:46} Niveau trop faible (<2m)
{20/10/23 16:17:00} Niveau trop haut (>3.9m)
{20/10/23 16:27:03} Niveau trop faible (<2m)
{20/10/23 17:03:18} Niveau trop haut (>3.9m)
{20/10/23 17:05:03} Niveau trop haut (>3.9m)
{26/10/23 15:55:20} Niveau trop faible (<2m)
{26/10/23 15:55:20} Température trop faible (<15.5°C)
{28/10/23 12:26:10} Niveau trop faible (<2m)
{28/10/23 12:26:10} Température trop faible (<15.5°C)
